DateTime,Temperature,Cload_Cover,Global_radiation_horizontal,Diffuse_radiation_horizontal,Global_radiation_tilted_plane,Diffuse_radiation_tilted_plane,Solar_azimuth,Height_of_sun,Predicted Electricity Generated
7/23/2018 9:00,15.255,0,218,39,37,28,128.2,18.4,46202.03906
7/23/2018 10:00,15.255,0,417,55,134,50,139.5,27.7,60288.50391
7/23/2018 11:00,19.043,0,577,64,214,59,154.1,34.8,67278.78906
7/23/2018 12:00,19.043,0,679,69,265,63,171,38.7,71985.24219
7/23/2018 13:00,19.043,0,714,70,278,64,170.6,38.7,69921.49219
7/23/2018 14:00,18.23801,0,680,69,248,63,154,34.8,64620.21875
7/23/2018 15:00,18.23801,0,579,65,177,59,139.5,27.7,46770.63672
7/23/2018 16:00,18.23801,0,420,56,65,49,128.2,18.4,33734.30859
7/23/2018 17:00,14.814,0,220,40,35,35,118.6,7.6,5292.889648
7/23/2018 18:00,14.814,0,37,13,11,11,111.1,0,3087.431396
7/24/2018 8:00,15.71301,0,37,13,9,9,118.5,7.8,20603.50977
7/24/2018 9:00,15.71301,0,217,42,41,31,128.1,18.6,46056.11719
7/24/2018 10:00,15.71301,0,417,59,138,53,139.4,27.9,59309.99609
7/24/2018 11:00,19.16199,0,576,69,219,63,153.6,35,68010.04688
7/24/2018 12:00,19.16199,0,678,74,269,67,170.6,38.9,70795.1875
7/24/2018 13:00,19.16199,0,713,75,282,68,170.5,38.9,70425.61719
7/24/2018 14:00,17.892,0,679,74,253,67,153.6,35,64217.35547
7/24/2018 15:00,17.892,0,578,69,183,63,139.4,27.9,47526.98438
7/24/2018 16:00,17.892,0,419,60,72,52,128.1,18.5,31374.49023
7/24/2018 17:00,7.507996,8,220,42,37,37,118.5,7.8,3840.887207
7/24/2018 18:00,7.507996,8,38,14,12,12,110.6,0,3690.194336
7/25/2018 8:00,16.62299,0,38,14,9,9,118.4,7.9,21050.77344
7/25/2018 9:00,16.62299,0,219,43,43,31,128,18.7,45857.08203
7/25/2018 10:00,16.62299,0,419,60,141,54,139.3,28.1,60087.26172
7/25/2018 11:00,19.80499,0,579,70,222,64,153.5,35.2,71246.57031
7/25/2018 12:00,19.80499,0,680,75,273,68,170.5,39.1,72835.47656
7/25/2018 13:00,19.80499,0,715,76,286,69,170.5,39.1,72817.3125
7/25/2018 14:00,18.83099,0,681,75,258,68,153.5,35.2,59343.63281
7/25/2018 15:00,18.83099,0,581,70,187,64,139.3,28,43001.50391
7/25/2018 16:00,18.83099,0,422,61,76,53,127.6,18.7,27871.35938
7/25/2018 17:00,7.52301,0,222,43,38,38,118.4,7.9,4821.391113
7/25/2018 18:00,7.52301,0,39,14,13,13,110.5,0,4670.698242
7/26/2018 8:00,17.448,8,37,16,11,11,118.3,8,19567.72461
7/26/2018 9:00,17.448,8,214,50,47,34,127.5,18.9,43463.8125
7/26/2018 10:00,17.448,8,412,71,140,56,139.2,28.2,59048.53125
7/26/2018 11:00,20.59399,8,571,83,228,74,153.5,35.4,67733.29688
7/26/2018 12:00,20.59399,8,672,89,279,79,170.5,39.3,70399.59375
7/26/2018 13:00,20.59399,8,707,91,292,80,170.5,39.3,71748.82031
7/26/2018 14:00,19.12,32,673,89,264,79,153.5,35.4,52153.60156
7/26/2018 15:00,19.12,32,573,83,195,74,139.2,28.2,30145.35742
7/26/2018 16:00,19.12,32,415,71,83,57,127.5,18.8,19251.0918
7/26/2018 17:00,9.684998,8,218,50,43,43,118.3,8,3910.730713
7/26/2018 18:00,9.684998,8,39,16,14,14,110.4,0,3665.465576
7/27/2018 8:00,17.38199,36,39,16,11,11,118.2,8.2,12145.77148
7/27/2018 9:00,17.38199,36,217,50,49,35,127.4,19,32230.40234
7/27/2018 10:00,17.38199,36,416,71,144,56,139.1,28.4,40347.80469
7/27/2018 11:00,20.86801,0,575,83,232,73,153.4,35.6,68675.89063
7/27/2018 12:00,20.86801,0,676,89,283,79,170.5,39.5,71711.3125
7/27/2018 13:00,20.86801,0,711,90,296,80,170.5,39.5,72132.89844
7/27/2018 14:00,19.173,0,677,89,268,79,153.4,35.6,64388.65625
7/27/2018 15:00,19.173,0,577,83,199,74,139.1,28.4,45715.05078
7/27/2018 16:00,19.173,0,418,71,86,57,127.4,19,31744.875
7/27/2018 17:00,10.246,0,221,51,43,43,118.2,8.2,4891.234863
7/27/2018 18:00,10.246,0,40,17,15,15,110.2,0,6107.477051
7/28/2018 8:00,14.664,0,40,16,11,11,118.1,8.3,18119.18164
7/28/2018 9:00,14.664,0,221,50,54,37,127.3,19.2,45726.51172
7/28/2018 10:00,14.664,0,420,70,147,55,139.1,28.6,63504.34375
7/28/2018 11:00,19.323,0,579,82,235,73,153.3,35.8,67826.84375
7/28/2018 12:00,19.323,0,681,88,287,78,170.5,39.8,72263.46875
7/28/2018 13:00,19.323,0,716,89,300,80,170.5,39.7,72059.92969
7/28/2018 14:00,18.733,0,682,88,273,78,153.3,35.8,64543.39844
7/28/2018 15:00,18.733,0,581,82,204,73,139,28.6,49566.82031
